STREAM,ZINC,DIVERSITY
Eagle,BACK,2.27
Eagle,HIGH,1.25
Eagle,HIGH,1.15
Eagle,MED,1.62
Blue,BACK,1.7
Blue,HIGH,0.63
Blue,BACK,2.05
Blue,BACK,1.98
Blue,HIGH,1.04
Blue,MED,2.19
Blue,MED,2.1
Snake,BACK,2.2
Snake,MED,2.06
Snake,HIGH,1.9
Snake,HIGH,1.88
Snake,HIGH,0.85
Arkan,LOW,1.4
Arkan,LOW,2.18
Arkan,LOW,1.83
Arkan,LOW,1.88
Arkan,MED,2.02
Arkan,MED,1.94
Arkan,LOW,2.1
Chalk,LOW,2.38
Chalk,HIGH,1.43
Chalk,HIGH,1.37
Chalk,MED,1.75
Chalk,LOW,2.83
Splat,BACK,1.53
Splat,BACK,0.76
Splat,MED,0.8
Splat,LOW,1.66
Splat,MED,0.98
Splat,BACK,1.89
