TREAT,RAT,PREP,READ,GLYCO
Control,Rat1,Prep1,Read1,131
Control,Rat1,Prep1,Read2,130
Control,Rat1,Prep2,Read3,131
Control,Rat1,Prep2,Read4,125
Control,Rat1,Prep3,Read5,136
Control,Rat1,Prep3,Read6,142
Control,Rat2,Prep4,Read7,150
Control,Rat2,Prep4,Read8,148
Control,Rat2,Prep5,Read9,140
Control,Rat2,Prep5,Read10,143
Control,Rat2,Prep6,Read11,160
Control,Rat2,Prep6,Read12,150
Compound217,Rat3,Prep7,Read13,157
Compound217,Rat3,Prep7,Read14,145
Compound217,Rat3,Prep8,Read15,154
Compound217,Rat3,Prep8,Read16,142
Compound217,Rat3,Prep9,Read17,147
Compound217,Rat3,Prep9,Read18,153
Compound217,Rat4,Prep10,Read19,151
Compound217,Rat4,Prep10,Read20,155
Compound217,Rat4,Prep11,Read21,147
Compound217,Rat4,Prep11,Read22,147
Compound217,Rat4,Prep12,Read23,162
Compound217,Rat4,Prep12,Read24,152
Compound217Sugar,Rat5,Prep13,Read25,134
Compound217Sugar,Rat5,Prep13,Read26,125
Compound217Sugar,Rat5,Prep14,Read27,138
Compound217Sugar,Rat5,Prep14,Read28,138
Compound217Sugar,Rat5,Prep15,Read29,135
Compound217Sugar,Rat5,Prep15,Read30,136
Compound217Sugar,Rat6,Prep16,Read31,138
Compound217Sugar,Rat6,Prep16,Read32,140
Compound217Sugar,Rat6,Prep17,Read33,139
Compound217Sugar,Rat6,Prep17,Read34,138
Compound217Sugar,Rat6,Prep18,Read35,134
Compound217Sugar,Rat6,Prep18,Read36,127
