LOCATION,FUNCTION,LEAFAREA
Newmex,Shrub,105
Newmex,Tree,124
Newmex,Tree,83.8
Newmex,Shrub,39.7
Newmex,Shrub,51.2
Newmex,Shrub,66
Newmex,Shrub,39.6
Scarolin,Shrub,97.9
Scarolin,Tree,97.6
Scarolin,Tree,62.9
Scarolin,Shrub,80.1
Scarolin,Tree,90
Scarolin,Shrub,42.1
Venezuel,Shrub,275.1
Venezuel,Shrub,287.4
Venezuel,Tree,144.6
Venezuel,Tree,114.3
Venezuel,Tree,126.4
Venezuel,Tree,105.4
Venezuel,Tree,78.1
Venezuel,Tree,129.9
Venezuel,Tree,103.1
Venezuel,Tree,90.3
Venezuel,Tree,82.8
Venezuel,Tree,75.2
Venezuel,Tree,86.6
Venezuel,Tree,82.6
Venezuel,Tree,82
Venezuel,Tree,67.8
Venezuel,Tree,76.8
Venezuel,Tree,67.3
Venezuel,Tree,NA
Venezuel,Tree,95.1
Venezuel,Tree,72.1
Venezuel,Tree,58.4
Venezuel,Tree,55.3
Venezuel,Tree,58.1
Wiscons,Tree,110
Wiscons,Tree,121
Wiscons,Tree,305
Wiscons,Tree,118
Wiscons,Tree,166
Wiscons,Tree,125
Wiscons,Tree,99
Wiscons,Tree,121
Wiscons,Tree,112
Wiscons,Tree,108
Wiscons,Tree,138
Wiscons,Tree,84
Wiscons,Tree,93
Wiscons,Shrub,110.4
Wiscons,Tree,95
Wiscons,Tree,114
Wiscons,Shrub,123
Wiscons,Shrub,120
Wiscons,Shrub,115
Wiscons,Shrub,75.8
Wiscons,Shrub,114.9
