Scent,Location,Bait
28,Top,Pheromone
19,Top,Pheromone
32,Top,Pheromone
15,Top,Pheromone
13,Top,Pheromone
39,Middle,Pheromone
12,Middle,Pheromone
42,Middle,Pheromone
25,Middle,Pheromone
21,Middle,Pheromone
44,Lower,Pheromone
21,Lower,Pheromone
38,Lower,Pheromone
32,Lower,Pheromone
29,Lower,Pheromone
17,Ground,Pheromone
12,Ground,Pheromone
23,Ground,Pheromone
19,Ground,Pheromone
14,Ground,Pheromone
35,Top,Sugar
22,Top,Sugar
33,Top,Sugar
21,Top,Sugar
17,Top,Sugar
36,Middle,Sugar
38,Middle,Sugar
44,Middle,Sugar
27,Middle,Sugar
22,Middle,Sugar
42,Lower,Sugar
17,Lower,Sugar
31,Lower,Sugar
29,Lower,Sugar
37,Lower,Sugar
18,Ground,Sugar
27,Ground,Sugar
15,Ground,Sugar
29,Ground,Sugar
16,Ground,Sugar
32,Top,Chemical
29,Top,Chemical
16,Top,Chemical
18,Top,Chemical
20,Top,Chemical
37,Middle,Chemical
40,Middle,Chemical
18,Middle,Chemical
28,Middle,Chemical
36,Middle,Chemical
35,Lower,Chemical
39,Lower,Chemical
41,Lower,Chemical
31,Lower,Chemical
34,Lower,Chemical
22,Ground,Chemical
25,Ground,Chemical
14,Ground,Chemical
16,Ground,Chemical
19,Ground,Chemical
